day,energy,mass
0,0,100
1,0,100
2,0,100
3,0,100
4,0,100
5,0,100
6,0,100
7,0,100
8,0,100
9,42000,100
10,42000,100
11,0,100
12,42000,100
13,0,100
14,42000,100
15,42000,100
16,41700,100
17,42000,100
18,0,100
19,0,100
20,42000,100
21,42000,100
22,42000,100
23,42000,100
24,42000,100
25,42000,100
26,42000,100
27,42000,100
28,0,100
29,42000,100
30,40500,100
31,42000,100
32,41700,100
33,0,100
34,40200,100
35,0,100
36,42000,100
37,42000,100
38,41400,100
39,42000,100
40,42000,100
41,40200,100
42,42000,100
43,42000,100
44,0,100
45,42000,100
46,42000,100
47,42000,100
48,42000,100
49,42000,100
50,42000,100
51,0,100
52,42000,100
53,42000,100
54,0,100
55,0,100
56,42000,100
57,42000,100
58,42000,100
59,42000,100
60,41100,100
61,41100,100
62,42000,100
63,42000,100
64,42000,100
65,42000,100
66,0,100
67,40200,100
68,42000,100
69,33500,100
70,42000,100
71,42000,100
72,41400,100
73,42000,100
74,0,100
75,0,100
76,0,100
77,42000,100
78,40200,100
79,42000,100
80,42000,100
81,0,100
82,40500,100
83,0,100
84,42000,100
85,40200,100
86,42000,100
87,0,100
88,20100,100
89,0,100
90,40200,100
91,13400,100
92,0,100
93,42000,100
94,0,100
95,42000,100
96,6700,100
97,42000,100
98,42000,100
99,0,100
100,42000,100
101,40200,100
102,42000,100
103,42000,100
104,42000,100
105,40500,100
106,41400,100
107,42000,100
108,42000,100
109,42000,100
110,41700,100
111,42000,100
112,42000,100
113,42000,100
114,42000,100
115,42000,100
116,33500,100
117,42000,100
118,42000,100
119,41700,100
120,40200,100
121,42000,100
122,42000,100
123,42000,100
124,42000,100
125,42000,100
126,42000,100
127,42000,100
128,42000,100
129,41700,100
130,42000,100
131,42000,100
132,42000,100
133,0,100
134,42000,100
135,42000,100
136,42000,100
137,42000,100
138,40200,100
139,0,100
140,42000,100
141,0,100
142,42000,100
143,0,100
144,42000,100
145,42000,100
146,42000,100
147,42000,100
148,40200,100
149,26800,100
150,42000,100
151,42000,100
152,42000,100
153,42000,100
154,42000,100
155,42000,100
156,42000,100
157,41100,100
158,41700,100
159,40200,100
160,42000,100
161,42000,100
162,42000,100
163,42000,100
164,20100,100
165,0,100
166,42000,100
167,42000,100
168,42000,100
169,42000,100
170,40200,100
171,0,100
172,42000,100
173,0,100
174,42000,100
175,0,100
176,42000,100
177,42000,100
178,42000,100
179,42000,100
180,41100,100
181,0,100
182,42000,100
183,42000,100
184,40500,100
185,0,100
186,0,100
187,40200,100
188,42000,100
189,42000,100
190,42000,100
191,40500,100
192,0,100
193,0,100
194,42000,100
195,42000,100
196,40200,100
197,42000,100
198,0,100
199,0,100
200,0,100
0,0,1000
1,0,1000
2,0,1000
3,0,1000
4,0,1000
5,0,1000
6,0,1000
7,0,1000
8,0,1000
9,350000,1000
10,350000,1000
11,347900,1000
12,341600,1000
