day,energy,mass
0,0,100
1,0,100
2,0,100
3,0,100
4,0,100
5,0,100
6,0,100
7,0,100
8,0,100
9,20100,100
10,0,100
11,0,100
12,0,100
13,26800,100
14,0,100
15,0,100
16,0,100
17,0,100
18,0,100
19,0,100
20,40200,100
21,1281700,100
22,0,100
23,0,100
24,0,100
25,0,100
26,0,100
27,0,100
28,0,100
29,0,100
30,0,100
31,0,100
32,0,100
33,0,100
34,0,100
35,0,100
36,0,100
37,0,100
38,0,100
39,6700,100
40,0,100
41,0,100
42,0,100
43,0,100
44,0,100
45,0,100
46,0,100
47,0,100
48,0,100
49,508900,100
50,0,100
51,0,100
52,6700,100
53,0,100
54,0,100
55,0,100
56,0,100
57,0,100
58,0,100
59,0,100
60,235900,100
61,0,100
62,508900,100
63,20100,100
64,0,100
65,0,100
66,53600,100
67,0,100
68,0,100
69,0,100
70,0,100
71,0,100
72,0,100
73,80400,100
74,0,100
75,0,100
76,0,100
77,0,100
78,0,100
79,0,100
80,0,100
81,6700,100
82,67000,100
83,0,100
84,0,100
85,26800,100
86,0,100
87,0,100
88,33500,100
89,0,100
90,0,100
91,0,100
92,0,100
93,0,100
94,0,100
95,0,100
96,0,100
97,0,100
98,0,100
99,0,100
100,123900,100
101,1421700,100
102,0,100
103,33500,100
104,80400,100
105,0,100
106,0,100
107,0,100
108,0,100
109,0,100
110,0,100
111,80400,100
112,403900,100
113,0,100
114,0,100
115,0,100
116,0,100
117,227800,100
118,1498700,100
119,0,100
120,0,100
121,0,100
122,20100,100
123,0,100
124,0,100
0,0,500
1,0,500
2,0,500
3,0,500
4,0,500
5,0,500
6,0,500
7,0,500
8,0,500
9,87100,500
10,0,500
11,0,500
12,0,500
13,525700,500
14,0,500
15,1846600,500
16,0,500
17,0,500
18,0,500
19,20100,500
20,0,500
21,26800,500
22,93800,500
23,0,500
24,0,500
25,0,500
26,40200,500
27,0,500
28,73700,500
29,0,500
30,174200,500
31,0,500
32,0,500
33,0,500
34,0,500
35,20100,500
36,528400,500
37,1281700,500
38,0,500
39,0,500
40,0,500
41,0,500
42,0,500
43,0,500
44,6700,500
45,13400,500
46,127300,500
47,26800,500
48,0,500
49,0,500
50,0,500
51,0,500
52,0,500
53,0,500
54,0,500
55,0,500
56,6700,500
57,0,500
58,0,500
59,0,500
60,0,500
61,0,500
62,0,500
63,26800,500
64,33500,500
65,0,500
66,1566000,500
67,438900,500
68,0,500
69,0,500
70,26800,500
71,33500,500
72,0,500
73,0,500
74,13400,500
75,0,500
76,0,500
77,0,500
78,501900,500
79,0,500
80,16491700,500
81,0,500
82,0,500
83,0,500
84,0,500
85,0,500
86,1419000,500
87,0,500
88,0,500
89,0,500
90,0,500
91,0,500
92,20100,500
93,0,500
94,0,500
95,0,500
96,0,500
97,1428700,500
98,0,500
99,0,500
100,0,500
101,0,500
102,13400,500
103,0,500
104,333900,500
105,0,500
106,0,500
107,0,500
108,0,500
109,0,500
