day,mass,det,energy
0,100,2000,0
1,100,2000,0
2,100,2000,1609420
3,100,2000,1858340
4,100,2000,889760
5,100,2000,1243680
6,100,2000,451600
7,100,2000,2233020
8,100,2000,1612940
9,100,2000,2420360
10,100,2000,2182280
11,100,2000,693200
12,100,2000,178120
13,100,2000,-336960
14,100,2000,5268960
15,100,2000,1626380
16,100,2000,4730300
17,100,2000,1083220
18,100,2000,286640
19,100,2000,1409060
20,100,2000,1380980
21,100,2000,1142900
22,100,2000,-589680
23,100,2000,1053240
24,100,2000,-158840
25,100,2000,195080
26,100,2000,859500
27,100,2000,-730080
28,100,2000,-271160
29,100,2000,-786240
30,100,2000,-327320
0,500,2000,0
1,500,2000,0
2,500,2000,1317340
3,500,2000,-220320
4,500,2000,5690020
5,500,2000,2519360
6,500,2000,1.10E+07
7,500,2000,6195040
8,500,2000,1735380
9,500,2000,197720
10,500,2000,-991440
11,500,2000,6317400
12,500,2000,1605240
13,500,2000,1.63E+07
14,500,2000,-1432080
15,500,2000,1690260
16,500,2000,-329900
17,500,2000,-1275560
18,500,2000,142280
19,500,2000,3273620
20,500,2000,3721960
21,500,2000,-775700
22,500,2000,-2313360
23,500,2000,-1554520
24,500,2000,182820
25,500,2000,-1216340
26,500,2000,-629500
27,500,2000,2879340
28,500,2000,-157320
29,500,2000,-2005480
30,500,2000,-3194640
0,1000,2000,0
1,1000,2000,0
2,1000,2000,878984
3,1000,2000,2765468
4,1000,2000,7057952
5,1000,2000,2780936
6,1000,2000,670920
7,1000,2000,1096404
8,1000,2000,-216112
9,1000,2000,-172628
10,1000,2000,219356
11,1000,2000,1236840
12,1000,2000,-75675.99997
13,1000,2000,2717808
14,1000,2000,-1626208
15,1000,2000,-2800224
16,1000,2000,-6739.999954
17,1000,2000,-206755.9999
18,1000,2000,-268271.9999
19,1000,2000,-2244288
20,1000,2000,-3069804
21,1000,2000,1399180
22,1000,2000,4574664
23,1000,2000,-2452352
24,1000,2000,-3277868
25,1000,2000,1.18E+07
26,1000,2000,-5000400
27,1000,2000,1.27E+07
28,1000,2000,486068.0001
29,1000,2000,-5113448
30,1000,2000,-4616464
0,2000,2000,0
1,2000,2000,0
2,2000,2000,952708
3,2000,2000,-252584
4,2000,2000,666624
5,2000,2000,678832
6,2000,2000,309040
7,2000,2000,287748
8,2000,2000,-607044
9,2000,2000,8075164
10,2000,2000,-2144128
11,2000,2000,-2341920
12,2000,2000,1.48E+07
13,2000,2000,-4055504
14,2000,2000,-4807296
15,2000,2000,2413912
16,2000,2000,1347120
17,2000,2000,-3586672
18,2000,2000,-5694464
19,2000,2000,-1265756
20,2000,2000,-1249048
21,2000,2000,-4960840
22,2000,2000,-5956132
23,2000,2000,-6812924
24,2000,2000,-6662216
25,2000,2000,-6788508
26,2000,2000,-5764300
27,2000,2000,-6898092
28,2000,2000,-5143384
29,2000,2000,-9762176
30,2000,2000,-6407968
0,4000,2000,0
1,4000,2000,0
2,4000,2000,-670032
3,4000,2000,3983436
4,4000,2000,-931096
5,4000,2000,-2331628
6,4000,2000,1452840
7,4000,2000,-993192
8,4000,2000,-4098224
9,4000,2000,1949244
10,4000,2000,4967212
11,4000,2000,-5621320
12,4000,2000,-3784852
13,4000,2000,-1456884
14,4000,2000,-5196416
15,4000,2000,-7155448
16,4000,2000,-7997480
17,4000,2000,-8701012
18,4000,2000,-6692544
19,4000,2000,-1.05E+07
20,4000,2000,-8624608
21,4000,2000,-1.29E+07
22,4000,2000,-1.05E+07
23,4000,2000,-1.11E+07
24,4000,2000,-1.31E+07
25,4000,2000,-1.35E+07
26,4000,2000,-1.01E+07
27,4000,2000,-1.57E+07
28,4000,2000,-1.47E+07
29,4000,2000,-1.44E+07
30,4000,2000,-1.08E+07
0,6000,2000,0
1,6000,2000,0
2,6000,2000,1336596
3,6000,2000,1178692
4,6000,2000,-860212
5,6000,2000,2390884
6,6000,2000,-3128520
7,6000,2000,-536424
8,6000,2000,1.34E+07
9,6000,2000,1.32E+07
10,6000,2000,-5435636
11,6000,2000,-4514540
12,6000,2000,-7006944
13,6000,2000,-9952848
14,6000,2000,-8893252
15,6000,2000,-1.12E+07
16,6000,2000,-1.27E+07
17,6000,2000,-1.02E+07
18,6000,2000,-1.43E+07
19,6000,2000,-1.68E+07
20,6000,2000,-1.61E+07
21,6000,2000,-1.26E+07
22,6000,2000,-1.34E+07
23,6000,2000,-2.06E+07
24,6000,2000,13708.00006
25,6000,2000,-2.14E+07
26,6000,2000,-2.15E+07
27,6000,2000,-1.96E+07
28,6000,2000,-2.49E+07
29,6000,2000,-1.96E+07
30,6000,2000,-2.62E+07
0,8000,2000,0
1,8000,2000,0
2,8000,2000,1256292
3,8000,2000,2861084
4,8000,2000,-757124
5,8000,2000,289168
6,8000,2000,1998960
7,8000,2000,-3915748
8,8000,2000,-5829456
9,8000,2000,-9237664
10,8000,2000,-3417372
11,8000,2000,-4218580
12,8000,2000,-1.22E+07
13,8000,2000,-1.18E+07
14,8000,2000,-8069704
