species,mass,walking.speed,energy.joules,energy.KJ
Archaeopteryx,0.25,0.5646459,76452.1,76.4521
expected,1,0.6544859,282340.5,282.3405
Microraptor,1.2,0.7672027,392353.4,392.3534
Coelophysis,20,1.038797,4399424,4399.424
Velociraptor,20,1.014914,4455006,4455.006
expected,20,1.0349315,4408286.5,4408.2865
expected,100,1.3238207,19296365.8,19296.3658
Gorgosaurus,210,1.566046,37006757,37006.757
Dilophosaurus,430,1.686683,72796867,72796.867
expected,1000,1.8827542,159529357.3,159529.3573
Allosaurus,1400,1.911603,221511135,221511.135
expected,4000,2.3274877,569053152.1,569053.1521
Tyrannosaurus,6000,2.544524,813453786,813453.786
expected,10000,2.6776763,1318902094,1318902.094
